manufacturer,phonename,releasedate,os,batsize,battype,scrsize,scrtype,nettech,chipset,cpu,gpu,internal,maincammodule,maincamvid,selfcammodule,selfcamvid,price
Meizu,Meizu 16Xs,"2019, June","Android 9.0, Flyme",4000,24W,1080x2232,Super AMOLED,GSM / CDMA / HSPA / LTE,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"64GB 6GB RAM, 128GB 6GB RAM","48 MP, f/1.7, 13mm (ultrawide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2
5 MP, f/1.9, (depth)","4K@30fps, 1080p@30fps (gyro-EIS)","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,220 EUR
Meizu,Meizu 16s,"2019, April","Android 9.0, Flyme 7.3",3600,24W,1080x2232,AMOLED,GSM / CDMA / HSPA / LTE,Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS
20MP, f/2.6, (telephoto), PDAF","4K@30fps, 1080p@30fps (gyro-EIS)","20MP, f/2.2",1080p@30fps,420 EUR
Meizu,Meizu Note 9,"2019, March","Android 9.0, Flyme 7.2",4000,18W,1080x2244,IPS LCD,GSM / CDMA / HSPA / LTE,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF
5 MP, f/2.4, (depth)",1080p@30fps,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",1080p@30fps,200 EUR
Meizu,Meizu Zero,Cancelled,Android 8.1,Na,18W,1080x2340,AMOLED,GSM / CDMA / HSPA / LTE,Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,"128GB 6GB RAM, 128GB 8GB RAM","12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55µm, PDAF
20 MP, PDAF","4K@30fps, 1080p@30fps","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",1080p@30fps,Na
Meizu,Meizu C9 Pro,"2018, December","Android 8.0, Flyme UI",3000,,720x1440,IGZO IPS LCD,GSM / HSPA / LTE,Unisoc SC9832E,Quad-core 1.3 GHz Cortex-A53,Mali-820MP1,32GB 3GB RAM,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF",1080p@30fps,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,110 EUR
Meizu,Meizu C9,"2018, December","Android 8.0, Flyme UI",3000,,720x1440,IGZO IPS LCD,GSM / HSPA / LTE,Unisoc SC9832E,Quad-core 1.3 GHz Cortex-A53,Mali-820MP1,16GB 2GB RAM,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF",1080p@30fps,"8 MP, f/2.2, 1/4.0"", 1.12µm",,90 EUR
Meizu,Meizu Note 8,"2018, November","Android 8.0, Flyme 7.3",3600,24W,1080x2160,IPS LCD,GSM / CDMA / HSPA / LTE,Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,64GB 4GB RAM,"12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF
5 MP, f/2.4, (depth)",1080p@30fps,"8 MP, f/2.0",,200 EUR
Meizu,Meizu X8,"2018, October","Android 8.0, Flyme UI",3210,,1080x2220,IPS LCD,GSM / CDMA / HSPA / LTE,Qualcomm SDM710 Snapdragon 710 (10 nm),Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF
5 MP",1080p@30fps,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,200 EUR
Meizu,Meizu V8 Pro,"2018, September","Android 8.0, Flyme UI",3100,,720x1440,IPS LCD,GSM / CDMA / HSPA / LTE,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,64GB 4GB RAM,"12 MP, f/2.2, AF
5 MP, f/2.2",1080p@30fps,"5 MP, f/1.9",,150 EUR
Meizu,Meizu V8,"2018, September","Android 8.0, Flyme UI",3200,,720x1440,IPS LCD,GSM / CDMA / HSPA / LTE,Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,32GB 3GB RAM,"13 MP, f/2.2, AF",1080p@30fps,"5 MP, f/1.9",,100 EUR
Meizu,Meizu 16X,"2018, September","Android 8.0, Flyme UI",3100,,1080x2160,Super AMOLED,GSM / CDMA / HSPA / LTE,Qualcomm SDM710 Snapdragon 710 (10 nm),Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,"64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/1.8, 1/2.3"", 1.55µm, dual pixel PDAF, 4-axis OIS
20 MP, f/2.6, 1/2.6"", 1.0µm, AF","4K@30fps, 1080p@30fps (gyro-EIS)","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",1080p@30fps,300 EUR
Meizu,Meizu 16,"2018, August","Android 8.1, Flyme UI",3010,24W,1080x2160,Super AMOLED,GSM / CDMA / HSPA / LTE,Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,"64GB 6GB RAM, 128GB 8GB RAM","12 MP, f/1.8, 25mm (wide), 1/2.3"", 1.55µm, dual pixel PDAF, 4-axis OIS
20 MP, f/2.6, 1/2.6"", 1.0µm","4K@30fps, 1080p@30fps (gyro-EIS)","20 MP, f/2.0, 27mm (wide), 1/2.8"", 1.0µm",1080p@30fps,410 EUR
Meizu,Meizu 16 Plus,"2018, August","Android 8.1, Flyme UI",3570,24W,1080x2160,Super AMOLED,GSM / CDMA / HSPA / LTE,Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.8, 1/2.3"", 1.55µm, dual pixel PDAF, 4-axis OIS
20 MP, f/2.6, 1/2.6"", 1.0µm, AF","4K@30fps, 1080p@30fps (gyro-EIS)","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",1080p@30fps,480 EUR
Meizu,Meizu M6T,"2018, June","Android 7.0, Flyme UI",3300,,720x1440,IPS LCD,GSM / CDMA / HSPA / LTE,Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM","13 MP, f/2.2, PDAF
2 MP, f/2.4, (depth)",1080p@30fps,"8 MP, f/2.0",,130 EUR
Meizu,Meizu M8c,"2018, June","Android 7.0, Flyme UI",3070,,720x1440,IPS LCD,GSM / HSPA / LTE,Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,"16GB 2GB RAM, 32GB 2GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"8 MP, f/2.0",,140 EUR
Meizu,Meizu 15 Plus,"2018, April","Android 7.1.2, Flyme 7.3",3500,24W,1440x2560,Super AMOLED,GSM / CDMA / HSPA / LTE,Exynos 8895 (10 nm),Octa-core (4x2.5 GHz Mongoose M2 & 4x1.7 GHz Cortex-A53),Mali-G71 MP20,"64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/1.8, 1/2.3"", 1.55 µm, dual pixel PDAF, 4-axis OIS
20 MP, 1/2.8"", 1.0 µm, AF, portraits only","4K@30fps, 1080p@30fps (gyro-EIS)","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",1080p@30fps,480 EUR
Meizu,Meizu 15,"2018, April","Android 7.1.2, Flyme 7.3",3000,24W,1080x1920,Super AMOLED,GSM / CDMA / HSPA / LTE,Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,"64GB 4GB RAM, 128GB 4GB RAM","12 MP, f/1.8, 1/2.3"", 1.55 µm, dual pixel PDAF, 4-axis OIS
20 MP, 1/2.8"", 1.0 µm, AF, portraits only","4K@30fps, 1080p@30fps","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",1080p@30fps,400 EUR
Meizu,Meizu 15 Lite,"2018, May","Android 7.1.2, Flyme 7",3000,18W,1080x1920,IPS LCD,GSM / CDMA / HSPA / LTE,Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 506,64GB 4GB RAM,"12 MP, f/1.9, 1.4 µm, dual pixel PDAF",1080p@30fps,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",1080p@30fps,240 EUR
Meizu,Meizu E3,"2018, April","Android 7.1.2, Flyme 7",3360,24W,1080x2160,IPS LCD,GSM / CDMA / HSPA / EVDO / LTE,Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,"64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF
20 MP, f/2.6, 1/2.8"", 1.0µm, PDAF",1080p@30fps,"8 MP, f/2.0, 1/3.2"", 1.4µm",1080p@30fps,280 EUR
Meizu,Meizu M6s,"2018, January","Android 7.0, Flyme 6.2",3000,18W,720x1440,IPS LCD,GSM / HSPA / LTE,Exynos 7872 (14 nm),Hexa-core (4x1.6 GHz Cortex-A53 & 2x2.0 GHz Cortex-A73),Mali-G71 MP1,"32GB 3GB RAM, 64GB 3GB RAM","16 MP, f/2.0, PDAF",1080p@30fps,"8 MP, f/2.0",,150 EUR
Meizu,Meizu M6,"2017, September","Android 7, Flyme 7.3",3070,24W,720x1280,IPS LCD,GSM / HSPA / LTE,Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"8 MP, f/2.0",,130 EUR
Meizu,Meizu M6 Note,"2017, September","Android 7.1.2, Flyme 7.3",4000,24W,1080x1920,IPS LCD,GSM / CDMA / HSPA / LTE,Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,"16GB 4GB RAM, 32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF
5 MP, f/2.0, AF",1080p@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,170 EUR
Meizu,Meizu Pro 7 Plus,"2017, August","Android 7.0, Flyme 7.3",3500,24W,1440x2560,Super AMOLED,GSM / HSPA / EVDO / LTE,Mediatek MT6799 Helio X30 (10 nm),"Deca-core (2x2.6 GHz Cortex-A73, 4x1.9 GHz Cortex-A35, 4x2.2 GHz Cortex-A53)",PowerVR 7XTP,"64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF",4K@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",,500 EUR
Meizu,Meizu Pro 7,"2017, August","Android 7.0, Flyme 7.3",3000,24W,1080x1920,Super AMOLED,GSM / HSPA / EVDO / LTE,"Mediatek MT6757T Helio P25 (16 nm) - standard edition
Mediatek MT6799 Helio X30 (10 nm) - high edition","Octa-core (4x2.4 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)
Deca-core (2x2.6 GHz Cortex-A73, 4x1.9 GHz Cortex-A35, 4x2.2 GHz Cortex-A53)","Mali-T880MP2
PowerVR 7XTP","64GB 4GB RAM, 128GB 4GB RAM","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","4K@30fps, 1080p@30fps","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,400 EUR
Meizu,Meizu M5c,"2017, June","Android 6.0, Flyme 6",3000,,720x1280,IPS LCD,GSM / HSPA / LTE,Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP1,16GB 2GB RAM,"8 MP, f/2.0, AF",720p@30fps,"5 MP, f/2.2",,140 EUR
Meizu,Meizu E2,"2017, April","Android 7, Flyme 6",3400,24W,1080x1920,IPS LCD,GSM / HSPA / LTE,Mediatek MT6757 Helio P20 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),Mali-T880MP2,"16GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"8 MP, f/2.0, 1/3.2"", 1.4µm",1080p@30fps,210 EUR
Meizu,Meizu M5s,"2017, February","Android 6.0, Flyme 5.2",3000,24W,720x1280,IPS LCD,GSM / HSPA / LTE,Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP2,"16GB 3GB RAM, 32GB 3GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"5 MP, f/2.0",,130 EUR
Meizu,Meizu M5 Note,"2016, December","Android 6.0, Flyme 7.3",4000,24W,1080x1920,IPS LCD,GSM / HSPA / LTE,Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"16GB 4GB RAM, 32GB 3GB RAM, 64GB 4GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"5 MP, f/2.0",,190 EUR
Meizu,Meizu M3x,"2016, December","Android 6, Flyme 6",3200,24W,1080x1920,IPS LCD,GSM / HSPA / LTE,Mediatek MT6757 Helio P20 (16 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),Mali-T880MP2,"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF",1080p@30fps,"5 MP, f/2.0, 1/4.0"", 1.4µm",1080p@30fps,Na
Meizu,Meizu Pro 6 Plus,"2016, November","Android 6, Flyme 7.3",3400,24W,1440x2560,Super AMOLED,GSM / HSPA / EVDO / LTE,Exynos 8890 Octa (14 nm),"Octa-core (4x2.0 GHz Mongoose & 4x1.5 GHz Cortex-A53) - 64 GB version
Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53) - 128 GB version","Mali-T880 MP10 - 64 GB version
Mali-T880 MP12 - 128 GB version","64GB 4GB RAM, 128GB 4GB RAM","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF, 4-axis OIS","4K@30fps, 1080p@30fps","5 MP, f/2.0, 1/4.0"", 1.4µm",1080p@30fps,550 EUR
Meizu,Meizu MX5e,"2016, April","Android 5.1, Flyme 5",3150,24W,1080x1920,AMOLED,GSM / HSPA / LTE,Mediatek MT6795 Helio X10 (28 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR G6200,"16GB 3GB RAM, 32GB 3GB RAM","16 MP, AF",1080p@30fps,5 MP,,190 EUR
Meizu,Meizu U10,"2016, August",Android OS,2760,,720x1280,IPS LCD,GSM / HSPA / LTE,Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"5 MP, f/2.0",,160 EUR
Meizu,Meizu U20,"2016, August","Android 6.0, Flyme UI",3260,,1080x1920,IPS LCD,GSM / HSPA / LTE,Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"5 MP, f/2.0",,190 EUR
Meizu,Meizu Pro 6s,"2016, December","Android 6.0, Flyme 7.3",3060,24W,1080x1920,Super AMOLED,GSM / HSPA / EVDO / LTE,Mediatek MT6797T Helio X25 (20 nm),"Deca-core (2x2.5 GHz Cortex-A72, 4x2 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)",Mali-T880 MP4,64GB 4GB RAM,"12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF, 4-axis OIS","4K@30fps, 1080p@30fps","5 MP, f/2.0, 1/4.0"", 1.4µm",1080p@30fps,430 EUR
Meizu,Meizu M5,"2016, November","Android 6.0, Flyme 6.3",3070,,720x1280,IPS LCD,GSM / HSPA / LTE,Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"5 MP, f/2.0",1080p@30fps,120 EUR
Meizu,Meizu M3 Max,"2016, September","Android 6.0, Flyme 5.2",4100,24W,1080x1920,IPS LCD,GSM / HSPA / LTE,Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,64GB 3GB RAM,"13 MP, f/2.2, 1/3.0"", PDAF",1080p@30fps,"5 MP, f/2.0",,270 EUR
Meizu,Meizu M3e,"2016, August","Android 5.1, Flyme 5.2",3100,24W,1080x1920,IPS LCD,GSM / HSPA / LTE,Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,32GB 3GB RAM,"13 MP, f/2.2, 1/3.0"", PDAF",1080p@30fps,"5 MP, f/2.0",,220 EUR
Meizu,Meizu MX6,"2016, July","Android 6.0, Flyme 7.3",3060,24W,1080x1920,TDDI,GSM / HSPA / LTE,Mediatek MT6797 Helio X20 (20 nm),"Deca-core (2x2.3GHz Cortex-A72, 4x1.9GHz Cortex-A53, 4x1.4GHz Cortex-A53)",Mali-T880 MP4,"32GB 3GB RAM, 32GB 4GB RAM","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","4K@30fps, 1080p@30fps","5 MP, f/2.0",1080p@30fps,300 EUR
Meizu,Meizu M3s,"2016, June","Android 5.1, Flyme 5.1",3020,,720x1280,IPS LCD,GSM / HSPA / LTE,Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"5 MP, f/2.0",,120 EUR
Meizu,Meizu M3,"2016, May","Android 5.1, Flyme 5.1",2870,,720x1280,IPS LCD,GSM / HSPA / LTE,Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2, PDAF",1080p@30fps,"5 MP, f/2.0",,130 EUR
Meizu,Meizu Pro 6,"2016, May","Android 6.0, Flyme 8",2560,24W,1080x1920,Super AMOLED,GSM / HSPA / EVDO / LTE,Mediatek MT6797T Helio X25 (20 nm),"Deca-core (2x2.5 GHz Cortex-A72, 4x2 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)",Mali-T880 MP4,"32GB 4GB RAM, 64GB 4GB RAM","21 MP, f/2.2, 31mm (standard), 1/2.4"", PDAF","4K@30fps, 720p@100fps","5 MP, f/2.0, 1/4.0"", 1.4µm",1080p@30fps,410 EUR
