manufacturer,phonename,releasedate,os,batsize,battype,scrsize,scrtype,nettech,chipset,cpu,gpu,internal,maincammodule,maincamvid,selfcammodule,selfcamvid,price
AT&T,AT&T Quickfire,"2008, November",Feature phone,1200,,240x320,"TFT, 256K colors",GSM / HSPA,Na,Na,Na,29MB,1.3 MP,Yes,No,Na,Na
AT&T,AT&T SMT5700,"2007, November",Microsoft Windows Mobile 5.0 PocketPC,1320,,320x240,"TFT, 65K colors",GSM,TI OMAP V1030,260 MHz,Na,Na,2 MP,Yes,No,Na,Na
AT&T,AT&T Mustang,"2007, October",Windows Mobile 6 Standard,1320,,240x320,"TFT, 256K colors",GSM / HSPA,Na,Marvell Bulverde 416 MHz,Na,"64MB RAM, 128MB ROM",1.3 MP,Yes,No,Na,Na
AT&T,AT&T 8525,"2006, June",Microsoft Windows Mobile 6 Professional,1350,,240x320,"TFT resistive touchscreen, 65K colors",GSM / HSPA,Na,400 MHz Samsung,Na,"64MB RAM, 128MB ROM",2 MP,Yes,No,Na,Na
